term,E,P,A,E2,P2,A2
abandon,-1.81,-1.03,1.20,-1.81,-1.03,1.20
abuse,-2.62,-1.96,1.13,-2.62,-1.96,1.13
accuse,-1.88,-0.97,1.34,-1.88,-0.97,1.34
address,1.52,1.26,-0.64,1.52,1.26,-0.64
admonish,2.58,2.09,-1.40,2.58,2.09,-1.40
advise,2.27,2.02,-1.47,2.27,2.02,-1.47
agree with,1.68,0.88,-0.56,1.68,0.88,-0.56
aid,2.28,1.84,-1.02,2.28,1.84,-1.02
amuse,1.45,0.71,0.18,1.45,0.71,0.18
analyze,1.62,1.11,-0.51,1.62,1.11,-0.51
answer,1.71,1.02,-0.92,1.71,1.02,-0.92
apologize to,2.74,1.65,-1.57,2.74,1.65,-1.57
appeal to,-0.79,-1.11,0.19,-0.79,-1.11,0.19
applaud,0.84,0.09,-0.13,0.84,0.09,-0.13
apprehend,-1.15,-2.03,-0.86,-1.15,-2.03,-0.86
approach,1.06,0.89,-0.15,1.06,0.89,-0.15
argue with,-1.44,-0.56,1.46,-1.44,-0.56,1.46
arrest,0.52,1.38,1.47,0.52,1.38,1.47
ask about something,1.50,1.06,-0.94,1.50,1.06,-0.94
ask out,1.11,0.46,-0.28,1.11,0.46,-0.28
assault,-2.96,-0.84,2.00,-2.96,-0.84,2.00
assist,2.81,1.97,-1.30,2.81,1.97,-1.30
attack,-2.11,-0.30,1.56,-2.11,-0.30,1.56
babble to,-1.29,-0.59,1.19,-1.29,-0.59,1.19
banter with,1.46,0.64,0.03,1.46,0.64,0.03
baptize,-0.17,0.20,0.33,-0.17,0.20,0.33
bargain with,0.18,-0.07,-0.01,0.18,-0.07,-0.01
barter with,-0.33,0.33,0.06,-0.33,0.33,0.06
bash,-2.67,0.18,2.18,-2.67,0.18,2.18
bawl out,-0.61,-0.13,0.51,-0.61,-0.13,0.51
be intimate with,1.75,1.09,-0.77,1.75,1.09,-0.77
be sarcastic toward,-1.71,-1.42,1.06,-1.71,-1.42,1.06
beat up,-2.64,-0.72,2.19,-2.64,-0.72,2.19
beckon to,0.07,-0.20,-0.39,0.07,-0.20,-0.39
bed,0.22,0.51,-0.11,0.22,0.51,-0.11
beg,-1.17,-0.94,-0.58,-1.17,-0.94,-0.58
belittle,-2.17,-1.59,1.18,-2.17,-1.59,1.18
bellow at,-2.35,-1.24,1.91,-2.35,-1.24,1.91
beseech,-0.98,-1.12,-0.05,-0.98,-1.12,-0.05
bill,0.35,0.23,-0.07,0.35,0.23,-0.07
bind,-1.22,0.18,0.85,-1.22,0.18,0.85
bite,-1.26,-0.30,1.44,-1.26,-0.30,1.44
blabber to,-0.51,-0.65,0.73,-0.51,-0.65,0.73
blame,-1.40,-0.95,1.34,-1.40,-0.95,1.34
bless,2.19,1.66,-1.20,2.19,1.66,-1.20
bootlick,-1.47,-1.37,0.50,-1.47,-1.37,0.50
booze with,-1.60,-1.22,1.10,-1.60,-1.22,1.10
borrow money from,-0.03,-0.46,-0.33,-0.03,-0.46,-0.33
boss around,-1.00,-0.27,0.82,-1.00,-0.27,0.82
bow to,-0.74,-0.84,-1.07,-0.74,-0.84,-1.07
bribe,-2.88,-2.51,0.91,-2.88,-2.51,0.91
brief,0.66,0.57,-0.63,0.66,0.57,-0.63
browbeat,-2.23,-0.61,1.78,-2.23,-0.61,1.78
brutalize,-2.80,-1.22,1.55,-2.80,-1.22,1.55
care for,2.27,1.04,-0.41,2.27,1.04,-0.41
caress,2.06,1.27,-0.68,2.06,1.27,-0.68
caution,1.70,1.23,0.18,1.70,1.23,0.18
challenge,0.95,1.23,0.70,0.95,1.23,0.70
chase,-1.40,0.41,1.33,-1.40,0.41,1.33
chastise,1.20,1.05,0.01,1.20,1.05,0.01
chat up,1.98,1.12,-0.67,1.98,1.12,-0.67
chat with,1.24,0.89,-0.07,1.24,0.89,-0.07
chatter to,-1.17,-1.17,1.67,-1.17,-1.17,1.67
cheat,-2.30,-1.79,1.21,-2.30,-1.79,1.21
cheat on,-2.81,-1.71,1.10,-2.81,-1.71,1.10
cheer,3.06,2.06,-0.94,3.06,2.06,-0.94
cheer up,3.00,1.85,-0.74,3.00,1.85,-0.74
choke,-2.52,0.01,1.51,-2.52,0.01,1.51
cling to,1.32,1.03,-0.53,1.32,1.03,-0.53
club,-2.05,-0.48,1.61,-2.05,-0.48,1.61
collaborate with,3.03,2.30,-1.26,3.03,2.30,-1.26
combat,-1.27,0.47,1.98,-1.27,0.47,1.98
comfort,2.85,1.98,-1.53,2.85,1.98,-1.53
command,-0.92,0.68,1.12,-0.92,0.68,1.12
compensate,1.38,0.89,-0.58,1.38,0.89,-0.58
compete with,1.68,1.55,0.57,1.68,1.55,0.57
complain to,0.43,-0.94,-0.06,0.43,-0.94,-0.06
compliment,1.27,1.17,-0.62,1.27,1.17,-0.62
compromise with,1.83,1.28,-0.93,1.83,1.28,-0.93
concur with,2.21,1.07,-0.90,2.21,1.07,-0.90
condemn,-0.21,0.23,-0.22,-0.21,0.23,-0.22
confess to,1.70,1.17,-0.85,1.70,1.17,-0.85
confide in,1.36,0.37,-1.14,1.36,0.37,-1.14
confine,-1.15,-0.30,1.06,-1.15,-0.30,1.06
congratulate,2.15,1.13,-0.75,2.15,1.13,-0.75
conspire with,-1.82,-0.86,1.16,-1.82,-0.86,1.16
consult with,2.35,1.78,-0.74,2.35,1.78,-0.74
contemplate,2.06,1.26,-0.53,2.06,1.26,-0.53
contradict,-0.24,0.04,0.87,-0.24,0.04,0.87
converse with,1.24,0.79,-0.47,1.24,0.79,-0.47
convict,-1.81,-0.58,0.96,-1.81,-0.58,0.96
correct,1.84,1.26,-1.05,1.84,1.26,-1.05
counsel,1.85,1.03,-0.67,1.85,1.03,-0.67
criticize,0.10,0.72,0.81,0.10,0.72,0.81
curry favor from,1.53,0.27,-1.00,1.53,0.27,-1.00
curse,-2.71,-1.72,1.98,-2.71,-1.72,1.98
cut the pay of,-2.07,-1.01,1.21,-2.07,-1.01,1.21
dance with,1.46,0.63,0.29,1.46,0.63,0.29
defeat,0.61,0.93,0.96,0.61,0.93,0.96
defend,2.56,2.45,-0.24,2.56,2.45,-0.24
defer to,-1.31,-0.58,0.07,-1.31,-0.58,0.07
defy,1.34,1.24,0.35,1.34,1.24,0.35
demean,-2.36,-1.69,1.06,-2.36,-1.69,1.06
denigrate,-2.61,-2.48,1.28,-2.61,-2.48,1.28
denounce,-1.78,-1.23,1.34,-1.78,-1.23,1.34
deny something to,-1.86,-0.96,0.88,-1.86,-0.96,0.88
deprecate,-1.92,-1.32,1.39,-1.92,-1.32,1.39
desire sexually,-1.14,-0.61,0.42,-1.14,-0.61,0.42
dicker with,-1.72,-1.32,0.80,-1.72,-1.32,0.80
direct,1.80,1.43,-1.13,1.80,1.43,-1.13
disagree with,0.18,0.04,0.14,0.18,0.04,0.14
discipline,-0.67,-0.12,1.21,-0.67,-0.12,1.21
discourage,-0.58,-0.55,0.16,-0.58,-0.55,0.16
discuss something with,1.81,1.17,-0.76,1.81,1.17,-0.76
disobey,-1.72,-0.39,1.26,-1.72,-0.39,1.26
disparage,-1.88,-1.41,0.61,-1.88,-1.41,0.61
distract,-1.95,-1.38,0.71,-1.95,-1.38,0.71
divorce,-1.12,-0.72,1.12,-1.12,-0.72,1.12
dote on,0.82,0.74,-0.42,0.82,0.74,-0.42
draw near to,1.45,1.23,-0.73,1.45,1.23,-0.73
dress,0.30,0.30,-0.55,0.30,0.30,-0.55
drone on at,-1.90,-1.10,-0.48,-1.90,-1.10,-0.48
eat with,1.43,0.89,-0.71,1.43,0.89,-0.71
elbow,-1.32,0.09,0.87,-1.32,0.09,0.87
employ,1.76,1.54,-0.46,1.76,1.54,-0.46
encourage,2.75,2.13,0.40,2.75,2.13,0.40
entertain,1.76,1.19,-0.19,1.76,1.19,-0.19
escape,1.59,1.28,0.35,1.59,1.28,0.35
examine,0.56,0.30,-0.20,0.56,0.30,-0.20
excuse,1.33,0.61,-0.70,1.33,0.61,-0.70
exonerate,1.10,1.23,-0.60,1.10,1.23,-0.60
explain something to,2.36,1.64,-1.15,2.36,1.64,-1.15
exploit,-2.24,-1.79,1.07,-2.24,-1.79,1.07
extol,0.26,0.50,-0.01,0.26,0.50,-0.01
eye,-0.19,0.04,-0.26,-0.19,0.04,-0.26
face,1.49,1.64,0.35,1.49,1.64,0.35
feed something to,2.35,1.42,-1.11,2.35,1.42,-1.11
financially back,2.32,1.92,-1.02,2.32,1.92,-1.02
fine,0.14,-0.25,0.16,0.14,-0.25,0.16
fire from a job,-2.21,-0.60,1.77,-2.21,-0.60,1.77
flatter,-0.79,-0.62,0.00,-0.79,-0.62,0.00
flee,-0.80,-0.02,0.48,-0.80,-0.02,0.48
flirt with,0.16,0.16,0.05,0.16,0.16,0.05
flunk,-1.67,-1.31,0.55,-1.67,-1.31,0.55
follow,-0.80,-1.36,0.41,-0.80,-1.36,0.41
forget,-0.94,-0.28,-0.29,-0.94,-0.28,-0.29
forgive,2.57,1.59,-1.51,2.57,1.59,-1.51
fornicate with,-1.75,-1.42,1.24,-1.75,-1.42,1.24
frown at,-2.18,-1.06,1.02,-2.18,-1.06,1.02
gape at,-1.45,-1.68,-0.18,-1.45,-1.68,-0.18
gawk at,-1.40,-1.00,-0.32,-1.40,-1.00,-0.32
gaze at,-1.01,-0.55,0.10,-1.01,-0.55,0.10
giggle at,-1.09,-0.75,0.44,-1.09,-0.75,0.44
giggle with,0.40,0.00,0.66,0.40,0.00,0.66
give instructions to,1.04,1.16,-0.11,1.04,1.16,-0.11
give medical treatment to,1.75,1.47,-1.29,1.75,1.47,-1.29
give raise to,1.64,0.97,-0.28,1.64,0.97,-0.28
glance at,0.26,-0.16,0.45,0.26,-0.16,0.45
glare at,-1.30,-0.47,1.06,-1.30,-0.47,1.06
glorify,0.56,0.45,-0.35,0.56,0.45,-0.35
gossip with,-1.22,-1.00,0.82,-1.22,-1.00,0.82
grade,0.33,0.78,-0.45,0.33,0.78,-0.45
greet,2.44,1.46,-0.91,2.44,1.46,-0.91
grin at,1.86,1.49,-1.21,1.86,1.49,-1.21
groom,1.67,0.50,-0.45,1.67,0.50,-0.45
guide,2.13,1.37,-1.20,2.13,1.37,-1.20
gyp,-2.21,-1.31,1.40,-2.21,-1.31,1.40
halt,-0.07,0.53,0.12,-0.07,0.53,0.12
hand something to,1.10,0.69,-0.63,1.10,0.69,-0.63
handcuff,-1.50,-0.12,0.79,-1.50,-0.12,0.79
harm,-2.52,-0.55,1.48,-2.52,-0.55,1.48
have sex with,-0.56,-0.32,1.12,-0.56,-0.32,1.12
heal,2.54,1.78,-0.71,2.54,1.78,-0.71
heckle,-1.65,-0.43,1.11,-1.65,-0.43,1.11
hire,0.77,0.45,-0.55,0.77,0.45,-0.55
hold,0.52,0.33,0.23,0.52,0.33,0.23
horse around with,-0.47,-0.34,1.01,-0.47,-0.34,1.01
hug,1.80,0.85,-0.45,1.80,0.85,-0.45
hurry,-0.49,0.05,1.23,-0.49,0.05,1.23
hurt,-2.68,-1.44,1.76,-2.68,-1.44,1.76
ignore,-1.66,-0.99,0.03,-1.66,-0.99,0.03
imitate,-0.55,-0.83,0.43,-0.55,-0.83,0.43
incarcerate,-2.08,-0.12,1.46,-2.08,-0.12,1.46
incriminate,-1.63,-1.16,0.98,-1.63,-1.16,0.98
indoctrinate,0.40,0.53,-0.08,0.40,0.53,-0.08
inform,0.84,0.24,-0.13,0.84,0.24,-0.13
inject with medicine,0.50,0.78,-0.11,0.50,0.78,-0.11
injure,-2.42,-1.26,1.20,-2.42,-1.26,1.20
inspect,-0.33,-0.34,0.08,-0.33,-0.34,0.08
insult,-2.91,-1.85,2.00,-2.91,-1.85,2.00
interrogate,0.63,0.98,-0.14,0.63,0.98,-0.14
interrupt,-2.09,-1.09,1.62,-2.09,-1.09,1.62
interview,1.99,1.20,-0.70,1.99,1.20,-0.70
jail,-1.77,-0.02,1.50,-1.77,-0.02,1.50
jeer,-2.59,-1.04,1.60,-2.59,-1.04,1.60
joggle,1.37,0.58,-0.96,1.37,0.58,-0.96
join up with,1.38,0.72,-0.89,1.38,0.72,-0.89
joke with,1.20,0.77,0.43,1.20,0.77,0.43
josh,1.75,1.03,-0.35,1.75,1.03,-0.35
kick,-2.30,-0.47,1.55,-2.30,-0.47,1.55
kill,-2.25,-0.51,2.23,-2.25,-0.51,2.23
kiss,1.25,1.05,-0.63,1.25,1.05,-0.63
knife,-2.47,-0.65,1.81,-2.47,-0.65,1.81
knock out,-2.34,0.01,2.08,-2.34,0.01,2.08
laud,0.31,-0.26,0.02,0.31,-0.26,0.02
laugh at,-1.61,-0.76,1.02,-1.61,-0.76,1.02
laugh with,1.78,0.97,-0.15,1.78,0.97,-0.15
lay off from a job,-1.22,-0.27,0.92,-1.22,-0.27,0.92
lead,1.12,0.76,-0.53,1.12,0.76,-0.53
leave,-1.04,-0.65,0.61,-1.04,-0.65,0.61
lecture,1.40,0.94,-0.37,1.40,0.94,-0.37
leer at,-1.09,-0.92,0.57,-1.09,-0.92,0.57
lend money to,1.40,1.13,-0.54,1.40,1.13,-0.54
lie to,-2.27,-1.89,1.24,-2.27,-1.89,1.24
listen to,1.89,0.93,-0.99,1.89,0.93,-0.99
look at,0.52,0.55,-0.36,0.52,0.55,-0.36
look away from,-0.61,-0.52,0.22,-0.61,-0.52,0.22
lunch with,2.10,1.48,-0.83,2.10,1.48,-0.83
lust for,-0.24,-0.45,0.46,-0.24,-0.45,0.46
make business proposal to,1.86,1.49,-0.66,1.86,1.49,-0.66
make fun of,-2.13,-1.97,1.41,-2.13,-1.97,1.41
make love to,-0.18,0.28,0.94,-0.18,0.28,0.94
make up with,2.56,1.54,-1.40,2.56,1.54,-1.40
malign,-2.45,-2.25,0.87,-2.45,-2.25,0.87
marry,1.85,1.22,-0.91,1.85,1.22,-0.91
massage,1.14,0.99,-1.07,1.14,0.99,-1.07
medicate,1.99,0.82,-0.92,1.99,0.82,-0.92
mimic,-0.80,-0.97,0.58,-0.80,-0.97,0.58
molest,-2.16,-0.81,1.19,-2.16,-0.81,1.19
monitor,-1.40,-0.92,0.37,-1.40,-0.92,0.37
mother,2.77,1.83,-1.22,2.77,1.83,-1.22
mouth off to,-0.62,-0.14,1.08,-0.62,-0.14,1.08
mug,-2.30,-0.64,1.21,-2.30,-0.64,1.21
mumble to,-0.87,-0.63,-0.30,-0.87,-0.63,-0.30
murder,-3.28,-1.25,1.41,-3.28,-1.25,1.41
nag,-2.07,-1.35,1.40,-2.07,-1.35,1.40
neglect,-2.16,-2.01,0.70,-2.16,-2.01,0.70
negotiate with,1.03,1.16,-0.36,1.03,1.16,-0.36
nestle,1.98,1.07,-1.05,1.98,1.07,-1.05
nudge,-0.84,-0.42,0.35,-0.84,-0.42,0.35
obey,1.17,-0.02,-1.23,1.17,-0.02,-1.23
observe,0.73,0.06,-0.05,0.73,0.06,-0.05
obstruct,-2.24,-0.69,1.63,-2.24,-0.69,1.63
oppose,0.01,0.62,0.94,0.01,0.62,0.94
order,-0.79,0.19,1.16,-0.79,0.19,1.16
overcharge,-1.59,-0.45,0.72,-1.59,-0.45,0.72
overpower,0.59,0.97,0.43,0.59,0.97,0.43
overwork,-1.54,-0.87,0.78,-1.54,-0.87,0.78
pamper,0.94,0.24,-0.47,0.94,0.24,-0.47
pay for,0.84,0.64,-0.43,0.84,0.64,-0.43
pay for something,0.89,0.68,-0.03,0.89,0.68,-0.03
peek at,-1.67,-1.17,-0.36,-1.67,-1.17,-0.36
peep at,-1.96,-1.51,0.52,-1.96,-1.51,0.52
pester,-2.28,-1.61,1.73,-2.28,-1.61,1.73
photograph,1.55,1.24,-0.56,1.55,1.24,-0.56
pinch,-1.19,-0.23,0.75,-1.19,-0.23,0.75
place order with,0.85,0.99,0.14,0.85,0.99,0.14
play with,1.77,0.97,0.00,1.77,0.97,0.00
point at,-0.54,-0.72,0.55,-0.54,-0.72,0.55
praise,0.20,0.13,-0.49,0.20,0.13,-0.49
promise something,0.15,0.31,0.34,0.15,0.31,0.34
prompt,0.64,0.38,0.12,0.64,0.38,0.12
propose marriage to,2.40,2.01,-0.02,2.40,2.01,-0.02
prosecute,0.14,0.35,0.09,0.14,0.35,0.09
protect,2.42,1.92,-0.32,2.42,1.92,-0.32
pull away from,-0.49,-0.42,-0.17,-0.49,-0.42,-0.17
punch,-1.19,0.38,1.80,-1.19,0.38,1.80
pursue,-0.97,-0.35,0.87,-0.97,-0.35,0.87
push,-0.62,0.45,0.90,-0.62,0.45,0.90
put to bed,1.20,1.25,-0.57,1.20,1.25,-0.57
query,1.19,0.57,-0.89,1.19,0.57,-0.89
quiz,1.07,1.23,-0.72,1.07,1.23,-0.72
raise the pay of,1.77,1.54,-0.58,1.77,1.54,-0.58
rant at,-1.54,-1.26,1.18,-1.54,-1.26,1.18
rape,-2.85,-1.75,1.73,-2.85,-1.75,1.73
ravish,-2.10,-1.85,1.47,-2.10,-1.85,1.47
reason with,1.33,1.19,-0.74,1.33,1.19,-0.74
reassure,2.29,1.50,-1.72,2.29,1.50,-1.72
rebuff,-1.35,-0.34,0.64,-1.35,-0.34,0.64
reform,1.70,1.37,-1.03,1.70,1.37,-1.03
rehabilitate,1.88,1.71,-0.40,1.88,1.71,-0.40
remind,1.36,0.84,-0.49,1.36,0.84,-0.49
reply to,1.12,1.08,-0.15,1.12,1.08,-0.15
reprimand,-1.62,0.02,1.29,-1.62,0.02,1.29
request something from,0.58,0.70,-0.64,0.58,0.70,-0.64
rescue,2.16,2.19,-0.54,2.16,2.19,-0.54
restrain,-0.70,0.16,0.26,-0.70,0.16,0.26
retaliate against,-0.91,-0.67,0.91,-0.91,-0.67,0.91
reward,2.21,1.70,-0.77,2.21,1.70,-0.77
rib,-1.65,-0.82,1.30,-1.65,-0.82,1.30
ridicule,-2.62,-1.57,1.39,-2.62,-1.57,1.39
rob,-2.26,-0.31,1.44,-2.26,-0.31,1.44
rouse,0.72,0.28,0.35,0.72,0.28,0.35
salute,2.03,1.01,-1.19,2.03,1.01,-1.19
save,1.93,1.73,0.78,1.93,1.73,0.78
say farewell to,-0.27,0.34,-0.30,-0.27,0.34,-0.30
scowl at,-2.40,-0.81,1.27,-2.40,-0.81,1.27
scratch,-1.85,-0.61,1.45,-1.85,-0.61,1.45
scream at,-2.07,-1.08,1.52,-2.07,-1.08,1.52
search,-1.60,-0.36,0.71,-1.60,-0.36,0.71
seduce,-0.65,0.29,0.26,-0.65,0.29,0.26
seize,-0.40,0.33,0.91,-0.40,0.33,0.91
sell something to,0.81,0.45,0.38,0.81,0.45,0.38
sentence,-1.10,-0.33,1.09,-1.10,-0.33,1.09
serenade,1.62,0.73,-0.86,1.62,0.73,-0.86
serve,2.05,1.62,-0.48,2.05,1.62,-0.48
sexually arouse,-1.18,-1.15,0.79,-1.18,-1.15,0.79
sexually proposition,-1.39,-1.20,1.16,-1.39,-1.20,1.16
shake hands with,1.72,1.25,-0.88,1.72,1.25,-0.88
share something with,0.98,0.70,-0.33,0.98,0.70,-0.33
shoot,-2.34,-0.32,1.49,-2.34,-0.32,1.49
shout at,-1.74,-0.55,1.43,-1.74,-0.55,1.43
show something to,1.46,0.56,-0.66,1.46,0.56,-0.66
silence,-0.57,0.07,1.01,-0.57,0.07,1.01
sing to,1.80,0.63,-0.81,1.80,0.63,-0.81
sit next to,1.07,0.53,-1.21,1.07,0.53,-1.21
slap,-1.86,-0.58,2.36,-1.86,-0.58,2.36
slug,-1.97,0.31,2.23,-1.97,0.31,2.23
smile at,2.76,1.90,-0.93,2.76,1.90,-0.93
smirk at,1.51,0.68,-0.63,1.51,0.68,-0.63
snarl at,-1.04,0.03,1.24,-1.04,0.03,1.24
snuggle,0.42,0.20,-1.42,0.42,0.20,-1.42
sock,-2.40,-0.67,2.12,-2.40,-0.67,2.12
soothe,1.50,1.13,-1.23,1.50,1.13,-1.23
sound out,1.64,0.95,-1.02,1.64,0.95,-1.02
spank,-1.39,-0.85,1.47,-1.39,-0.85,1.47
squeeze,-1.12,-0.45,1.09,-1.12,-0.45,1.09
stab,-2.58,-1.44,1.72,-2.58,-1.44,1.72
stammer at,-1.83,-1.56,0.09,-1.83,-1.56,0.09
stare at,-1.20,-0.45,0.42,-1.20,-0.45,0.42
stare down,-0.58,-0.61,0.17,-0.58,-0.61,0.17
steal from,-2.33,-1.48,1.16,-2.33,-1.48,1.16
stop,-0.36,0.38,0.12,-0.36,0.38,0.12
strangle,-2.65,-0.53,1.19,-2.65,-0.53,1.19
strip,-1.57,-0.65,1.19,-1.57,-0.65,1.19
stroke,1.17,0.25,-0.88,1.17,0.25,-0.88
subdue,-2.11,-1.24,1.26,-2.11,-1.24,1.26
submit to,-1.24,-1.72,-0.51,-1.24,-1.72,-0.51
suck up to,-2.27,-1.36,0.05,-2.27,-1.36,0.05
sue,0.40,0.90,0.34,0.40,0.90,0.34
suggest something to,1.78,1.18,-0.41,1.78,1.18,-0.41
surprise,1.36,0.96,0.27,1.36,0.96,0.27
sympathize with,1.93,1.39,-1.23,1.93,1.39,-1.23
tackle,-0.39,0.59,1.54,-0.39,0.59,1.54
talk shop with,1.46,0.72,-0.61,1.46,0.72,-0.61
talk to,1.65,0.98,-0.69,1.65,0.98,-0.69
thank,2.37,1.55,-0.80,2.37,1.55,-0.80
threaten,-2.08,-0.53,1.63,-2.08,-0.53,1.63
tickle,0.65,0.28,0.96,0.65,0.28,0.96
toady to,-1.45,-1.02,0.38,-1.45,-1.02,0.38
torment,-2.33,-0.87,1.78,-2.33,-0.87,1.78
torture,-2.55,-1.05,2.16,-2.55,-1.05,2.16
touch,-0.76,-0.44,0.26,-0.76,-0.44,0.26
train,1.57,1.67,-0.32,1.57,1.67,-0.32
transact business with,1.22,0.87,-0.61,1.22,0.87,-0.61
treat,2.03,1.06,-0.74,2.03,1.06,-0.74
tug,-0.96,0.28,1.19,-0.96,0.28,1.19
turn to,1.71,0.37,-1.08,1.71,0.37,-1.08
underpay,-1.82,-1.36,1.05,-1.82,-1.36,1.05
undress,-2.02,-0.93,1.31,-2.02,-0.93,1.31
warn,1.51,1.12,-0.18,1.51,1.12,-0.18
wash,1.90,1.19,-0.51,1.90,1.19,-0.51
watch,0.30,-0.06,-0.32,0.30,-0.06,-0.32
welcome,2.42,1.49,-0.70,2.42,1.49,-0.70
whip,-2.08,-0.38,1.88,-2.08,-0.38,1.88
whisper to,-0.38,-0.89,-0.72,-0.38,-0.89,-0.72
wink at,0.29,0.30,-0.02,0.29,0.30,-0.02
work,-1.09,-0.41,0.43,-1.09,-0.41,0.43
wrestle with,-1.68,0.02,1.61,-1.68,0.02,1.61
yield to,-0.77,-0.61,0.28,-0.77,-0.61,0.28
